custid,firstorder,lastorder,recency,history,used_discount,used_bogo,zip_code,is_referral,channel,offer,conversion,retained,eopenrate,avg_order,paperless,city
6H6T6N,10/08/2009,10/08/2009,10,142.44,1,0,Surburban,0,Phone,Buy One Get One,0,0,100,14.52,0,DEL
APCENR,31/03/2007,18/01/2010,6,329.08,1,1,Rural,1,Web,No Offer,0,1,92.63157895,83.69,1,DEL
7UP6MS,30/11/2006,05/07/2007,7,180.65,0,1,Surburban,1,Web,Buy One Get One,0,0,0,33.58,0,DEL
7ZEW8G,27/03/2007,27/03/2007,9,675.83,1,0,Rural,1,Web,Discount,0,0,0,54.96,0,BOM
8V726M,28/11/2006,27/01/2009,2,45.34,1,0,Urban,0,Web,Buy One Get One,0,1,90,111.91,0,BOM
2B6B83,11/10/2006,13/01/2010,6,134.83,0,1,Surburban,0,Phone,Buy One Get One,1,1,80.43478261,175.1,1,DEL
99XGVM,15/05/2007,15/01/2010,9,280.2,1,0,Surburban,1,Phone,Buy One Get One,0,1,43.33333333,116.55,0,BOM
U3MP5L,20/09/2007,15/01/2010,9,46.42,0,1,Urban,0,Phone,Buy One Get One,0,1,28.125,68.1,1,DEL
ELKAGQ,08/11/2006,08/11/2006,9,675.07,1,1,Rural,1,Phone,Discount,0,1,0,46.6,0,DEL
3SBQP2,19/02/2007,09/12/2009,10,32.84,0,1,Urban,1,Web,Buy One Get One,0,1,94.11764706,66.07,1,DEL
YMALVV,17/11/2006,14/01/2010,7,548.91,0,1,Urban,1,Phone,Buy One Get One,1,1,83.33333333,89.04,0,DEL
GW8NT7,08/05/2007,04/01/2010,1,211.45,0,1,Urban,1,Phone,Buy One Get One,0,1,87.5,88.3,0,DEL
TFKLD4,14/11/2006,18/01/2010,5,642.9,0,1,Surburban,1,Multichannel,Buy One Get One,0,1,2.898550725,126.81,1,DEL
RAQ92T,28/02/2007,05/10/2009,2,101.64,0,1,Urban,0,Web,Discount,1,1,36.84210526,116.77,0,DEL
DMJERJ,13/04/2007,12/01/2010,4,241.42,0,1,Rural,1,Multichannel,No Offer,0,0,12.5,59.25,1,DEL
FJKD8W,26/03/2007,06/01/2010,3,58.13,1,0,Urban,1,Web,No Offer,1,1,60,49.73,1,BOM
HEPCW7,24/01/2007,11/01/2010,5,29.99,1,0,Surburban,0,Phone,Discount,0,0,61.53846154,156.54,1,DEL
2JZAE3,11/03/2008,14/10/2009,9,112.35,1,0,Rural,0,Web,Discount,0,1,8.333333333,101.06,0,DEL
BYS2DU,09/04/2007,18/01/2010,11,219.04,1,1,Surburban,0,Phone,Discount,0,1,17.54385965,14.02,0,BOM
F6MHUM,02/05/2007,14/01/2010,5,828.42,1,0,Surburban,1,Multichannel,Discount,0,1,65.2173913,79.39,1,DEL
LSL6QK,01/05/2007,01/05/2007,9,29.99,0,1,Surburban,1,Phone,No Offer,0,0,0,29.17,0,BOM
9SVNMF,18/12/2006,17/07/2008,11,182.32,1,0,Surburban,0,Phone,Discount,0,1,2.127659574,79.88,0,DEL
JPBBEP,21/08/2008,30/04/2009,2,118.4,1,0,Surburban,0,Web,Discount,1,1,19.14893617,115.25,1,DEL
3ML22U,23/04/2007,13/11/2008,2,29.99,0,1,Urban,1,Phone,No Offer,0,0,0,76.67,0,DEL
N297FU,19/12/2006,16/11/2007,4,78.24,1,0,Surburban,0,Web,No Offer,0,0,0,35.86,0,DEL
JD96M8,12/06/2007,01/08/2007,6,139.87,0,1,Rural,1,Web,Discount,0,1,0,85.61,0,DEL
PLM5WZ,23/11/2005,07/10/2009,12,115.39,0,1,Surburban,0,Phone,Discount,1,0,0,75.54,0,DEL
F3MF5Y,28/07/2006,27/11/2007,6,162.98,0,1,Surburban,0,Web,Discount,0,1,100,59.67,0,DEL
2GHDRJ,22/05/2006,06/03/2009,7,435.73,0,1,Urban,1,Web,No Offer,0,1,6.52173913,59.11,1,BOM
KZHTJ7,27/02/2007,16/12/2009,2,203.35,1,0,Rural,0,Web,No Offer,0,1,36.73469388,33.87,0,BOM
WXBP2F,16/05/2007,13/06/2007,2,237.53,0,1,Surburban,0,Phone,Buy One Get One,0,1,0,64.82,0,DEL
RJYYJ9,18/08/2008,18/08/2008,9,334.24,1,0,Urban,0,Web,Discount,0,1,11.11111111,60.94,0,BOM
MZ8L3N,19/03/2007,02/11/2007,6,128.01,0,1,Urban,0,Web,Discount,0,1,2.5,94.28,0,BOM
UCVGQ9,13/03/2007,10/09/2009,9,29.99,1,0,Surburban,1,Phone,Discount,0,1,12.5,103.39,0,BOM
4W84UJ,23/04/2005,23/04/2005,3,29.99,1,0,Rural,0,Web,Buy One Get One,0,0,0,15.64,0,DEL
LMVN3V,01/06/2006,07/03/2008,4,218.72,0,1,Urban,0,Multichannel,Buy One Get One,0,1,17.77777778,117.97,0,DEL
CZTUVU,06/11/2007,27/09/2008,1,514.52,0,1,Surburban,1,Web,Discount,0,1,2.127659574,37.24,0,DEL
3TJT3R,27/04/2007,21/01/2008,4,766.47,1,1,Urban,1,Multichannel,Discount,0,1,0,165.95,0,BOM
